Point 152 --> || t = 509.1000000000 || max_dvdt = 7.4348775884 ||
Point 153 --> || t = 509.1000000000 || max_dvdt = 7.4714956185 ||
Point 154 --> || t = 509.1000000000 || max_dvdt = 7.5143707133 ||
Point 155 --> || t = 509.1000000000 || max_dvdt = 7.5637381294 ||
Point 156 --> || t = 509.1000000000 || max_dvdt = 7.6198739171 ||
Point 157 --> || t = 509.1000000000 || max_dvdt = 7.6830835983 ||
Point 158 --> || t = 509.1000000000 || max_dvdt = 7.7536867634 ||
Point 159 --> || t = 509.1000000000 || max_dvdt = 7.8319974993 ||
Point 160 --> || t = 509.1000000000 || max_dvdt = 7.9183007280 ||
Point 161 --> || t = 509.1000000000 || max_dvdt = 8.0128247303 ||
Point 162 --> || t = 509.1000000000 || max_dvdt = 8.1157103731 ||
Point 163 --> || t = 509.1000000000 || max_dvdt = 8.2269778426 ||
Point 164 --> || t = 509.1000000000 || max_dvdt = 8.3464920347 ||
Point 165 --> || t = 509.1000000000 || max_dvdt = 8.4739281372 ||
Point 166 --> || t = 509.1000000000 || max_dvdt = 8.6087393537 ||
Point 167 --> || t = 509.1000000000 || max_dvdt = 8.7501291119 ||
Point 168 --> || t = 509.1000000000 || max_dvdt = 8.8970304085 ||
Point 169 --> || t = 509.1000000000 || max_dvdt = 9.0480950946 ||
Point 170 --> || t = 509.1000000000 || max_dvdt = 9.2016958057 ||
Point 171 --> || t = 509.1000000000 || max_dvdt = 9.3559428203 ||
Point 172 --> || t = 509.1000000000 || max_dvdt = 9.5087173397 ||
Point 173 --> || t = 509.1000000000 || max_dvdt = 9.6577215271 ||
Point 174 --> || t = 509.1000000000 || max_dvdt = 9.8005441904 ||
Point 175 --> || t = 509.1000000000 || max_dvdt = 9.9347393925 ||
Point 176 --> || t = 509.1000000000 || max_dvdt = 10.0579137185 ||
Point 177 --> || t = 509.1000000000 || max_dvdt = 10.1678166670 ||
Point 178 --> || t = 509.1000000000 || max_dvdt = 10.2624278767 ||
Point 179 --> || t = 509.2000000000 || max_dvdt = 10.3540994753 ||
Point 180 --> || t = 509.2000000000 || max_dvdt = 10.5943760111 ||
Point 181 --> || t = 509.2000000000 || max_dvdt = 10.8236187921 ||
Point 182 --> || t = 509.2000000000 || max_dvdt = 11.0380265435 ||
Point 183 --> || t = 509.2000000000 || max_dvdt = 11.2340756048 ||
Point 184 --> || t = 509.2000000000 || max_dvdt = 11.4086639515 ||
Point 185 --> || t = 509.2000000000 || max_dvdt = 11.5592330601 ||
Point 186 --> || t = 509.2000000000 || max_dvdt = 11.6838582398 ||
Point 187 --> || t = 509.2000000000 || max_dvdt = 11.7813013116 ||
Point 188 --> || t = 509.2000000000 || max_dvdt = 11.8510234629 ||
Point 189 --> || t = 509.2000000000 || max_dvdt = 11.8931601195 ||
Point 190 --> || t = 509.2000000000 || max_dvdt = 11.9084631358 ||
Point 191 --> || t = 509.3000000000 || max_dvdt = 12.0982628181 ||
